course_code,base_code,course_name,professor,professor_norm,year,semester,recency_weight,sample_weight,data_tier,winning_threshold,major_quota_threshold,threshold_yr1,threshold_yr2,threshold_yr3,threshold_yr4,inferred_class_size,priority_seats_used,competitive_seats,total_applicants,competitive_applicants,acceptance_rate,competition_ratio,max_winning_bid,avg_winning_bid,avg_all_bids,bid_std,raw_min_winning_bid,dominant_winner_year,pct_yr2_winners,pct_yr3_winners,pct_yr4_winners
CAS3109-01,CAS3109,AUTOMATA AND FORMAL LANGUAGES,한요섭,한요섭,2026,1,1.0,0.0,0,2.0,1.0,2.0,1.0,2.0,2.0,68,0,68,70,70,0.9714,1.0294,30.0,6.51,6.36,6.83,1.0,3,0.147,0.456,0.397
CAS3116-01,CAS3116,COMPUTER VISION,김선주,김선주,2026,1,1.0,0.0,0,19.0,19.0,19.0,1.0,19.0,2.0,68,0,68,80,80,0.85,1.1765,36.0,13.6,12.56,11.42,1.0,3,0.044,0.559,0.397
CAS3120-01,CAS3120,MACHINE LEARNING,이동하,이동하,2026,1,1.0,0.0,0,13.0,13.0,13.0,7.0,13.0,2.0,80,1,79,86,85,0.9294,1.0759,36.0,11.32,10.75,7.98,1.0,3,0.038,0.646,0.316
CAS3120-02,CAS3120,MACHINE LEARNING,전해곤,전해곤,2026,1,1.0,0.0,0,5.0,1.0,5.0,2.0,3.0,5.0,48,0,48,59,59,0.8136,1.2292,36.0,9.27,7.86,9.87,1.0,3,0.104,0.688,0.208
CAS3205-01,CAS3205,COMPUTER GRAPHICS,이인권,이인권,2026,1,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,39,0,39,39,39,1.0,1.0,35.0,6.9,6.9,7.3,1.0,3,0.103,0.564,0.333
CAS3208-01,CAS3208,ARTIFICIAL INTELLIGENCE,조성배,조성배,2026,1,1.0,0.0,0,2.0,1.0,2.0,2.0,2.0,2.0,18,0,18,21,21,0.8571,1.1667,20.0,6.06,5.33,5.83,1.0,4,0.167,0.333,0.5
CAS3301-01,CAS3301,NATURAL LANGUAGE PROCESSING,여진영,여진영,2026,1,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,26,0,26,26,26,1.0,1.0,18.0,5.0,5.0,4.95,1.0,4,0.115,0.385,0.5
CAS3400-01,CAS3400,AI SYSTEMS,한동준,한동준,2026,1,1.0,0.0,0,22.0,22.0,22.0,20.0,22.0,21.0,85,2,83,143,141,0.5887,1.6988,36.0,31.08,23.33,10.95,20.0,3,0.024,0.627,0.349
CAS4101-01,CAS4101,COMPUTER CAPSTONE DESIGN,한승재,한승재,2026,1,1.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,16,0,16,45,45,0.3556,2.8125,10.0,1.75,1.27,1.36,1.0,4,0.0,0.0,1.0
CAS4102-01,CAS4102,AI CAPSTONE DESIGN,이봉신,이봉신,2026,1,1.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,16,0,16,38,38,0.4211,2.375,36.0,3.62,2.11,5.67,1.0,4,0.0,0.0,1.0
CAS4108-01,CAS4108,DATA PRIVACY,노알버트,노알버트,2026,1,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,35,1,34,35,34,1.0,1.0,30.0,6.18,6.18,8.6,1.0,4,0.0,0.382,0.618
CAS4109-01,CAS4109,COMPUTER SECURITY,송도경,송도경,2026,1,1.0,0.0,0,11.0,11.0,11.0,18.0,11.0,11.0,74,0,74,86,86,0.8605,1.1622,36.0,14.28,12.9,10.63,1.0,4,0.027,0.365,0.608
CAS4119-01,CAS4119,MULTICORE AND GPU PROGRAMMING,박영준,박영준,2026,1,1.0,0.0,0,3.0,1.0,3.0,3.0,2.0,3.0,63,0,63,73,73,0.863,1.1587,36.0,11.97,10.51,9.2,1.0,4,0.0,0.206,0.794
CAS4127-01,CAS4127,HUMAN-AI INTERACTION,김대현,김대현,2026,1,1.0,0.0,0,9.0,2.0,9.0,10.0,2.0,9.0,32,0,32,40,40,0.8,1.25,36.0,9.28,7.85,10.45,1.0,4,0.094,0.219,0.688
CAS4131-01,CAS4131,THEORY AND PRACTICE OF CONNECTED PLATFORM,이경우,이경우,2026,1,1.0,0.0,0,1.0,1.0,1.0,1.0,2.0,1.0,15,1,14,15,14,1.0,1.0,36.0,6.86,6.86,12.4,1.0,4,0.0,0.214,0.786
CAS4133-01,CAS4133,LARGE LANGUAGE MODELS,김재형,김재형,2026,1,1.0,0.0,0,20.0,2.0,20.0,24.0,19.0,19.0,85,0,85,103,103,0.8252,1.2118,36.0,15.92,14.37,10.16,1.0,4,0.012,0.4,0.588
CAS4150-01,CAS4150,INTRODUCTION TO DATA VISUALISATION,강민석,강민석,2026,1,1.0,0.0,0,9.0,8.0,9.0,10.0,8.0,9.0,65,1,64,79,78,0.8205,1.2188,36.0,19.2,16.42,10.49,5.0,3,0.094,0.484,0.422
CAS4151-01,CAS4151,SW-AI BUSINESS APPLICATION DESIGN,김현수,김현수,2026,1,1.0,0.0,0,2.0,2.0,2.0,13.0,6.0,2.0,30,0,30,36,36,0.8333,1.2,32.0,13.43,11.36,9.21,1.0,4,0.033,0.233,0.733
CAS4160-01,CAS4160,REINFORCEMENT LEARNING,이영운,이영운,2026,1,1.0,0.0,0,37.0,11.0,37.0,17.0,37.0,37.0,98,1,97,142,141,0.6879,1.4536,36.0,24.6,24.21,10.77,2.0,4,0.021,0.351,0.629
MAT2011-03,MAT2011,LINEAR ALGEBRA AND ITS APPLICATIONS,최창열,최창열,2026,1,1.0,0.0,0,17.0,17.0,17.0,17.0,17.0,16.0,80,0,80,151,151,0.5298,1.8875,36.0,22.73,16.84,8.29,16.0,2,0.812,0.15,0.038
MAT2013-04,MAT2013,PROBABILITY AND STATISTICS,김현정,김현정,2026,1,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,52,0,52,52,52,1.0,1.0,13.0,3.81,3.81,3.17,1.0,2,0.731,0.173,0.096
MAT2013-03,MAT2013,PROBABILITY AND STATISTICS,최창열,최창열,2026,1,1.0,0.0,0,6.0,6.0,6.0,6.0,6.0,10.0,80,0,80,104,104,0.7692,1.3,36.0,14.03,11.51,7.37,5.0,2,0.862,0.1,0.038
